entryno.,value,timestamp,timeperiod,OUDstreaktype,OUDstreakno.
278,126917,2017-06-12 10:56:04,20170601010210,2,9
279,126913,2017-06-12 10:56:05,20170601010210,1,0
280,126917,2017-06-12 10:56:06,20170601010210,0,0
281,126917,2017-06-12 10:56:07,20170601010210,2,0
282,126913,2017-06-12 10:56:08,20170601010210,1,0
283,126913,2017-06-12 10:56:09,20170601010210,2,0
284,126917,2017-06-12 10:56:09,20170601010210,0,0
285,126917,2017-06-12 10:56:10,20170601010210,2,0
286,126913,2017-06-12 10:56:11,20170601010210,1,0
287,126917,2017-06-12 10:56:12,20170601010210,0,0
288,126913,2017-06-12 10:56:13,20170601010210,1,0
289,126913,2017-06-12 10:56:13,20170601010210,2,0
290,126913,2017-06-12 10:56:14,20170601010210,2,1
291,126913,2017-06-12 10:56:16,20170601010210,2,2
292,126913,2017-06-12 10:56:16,20170601010210,2,3
293,126913,2017-06-12 10:56:17,20170601010210,2,4
294,126913,2017-06-12 10:56:18,20170601010210,2,5
295,126913,2017-06-12 10:56:19,20170601010210,2,6
296,126913,2017-06-12 10:56:20,20170601010210,2,7
297,126922,2017-06-12 10:56:22,20170601010210,0,0
298,126922,2017-06-12 10:56:23,20170601010210,2,0
299,126922,2017-06-12 10:56:24,20170601010210,2,1
300,126922,2017-06-12 10:56:25,20170601010210,2,2
301,126922,2017-06-12 10:56:26,20170601010210,2,3
302,126922,2017-06-12 10:56:26,20170601010210,2,4
303,126932,2017-06-12 10:56:27,20170601010210,0,0
304,126922,2017-06-12 10:56:28,20170601010210,1,0
305,126932,2017-06-12 10:56:29,20170601010210,0,0
306,126932,2017-06-12 10:56:29,20170601010210,2,0
307,126932,2017-06-12 10:56:30,20170601010210,2,1
308,126932,2017-06-12 10:56:31,20170601010210,2,2
309,126932,2017-06-12 10:56:32,20170601010210,2,3
310,126932,2017-06-12 10:56:33,20170601010210,2,4
311,126932,2017-06-12 10:56:34,20170601010210,2,5
312,126932,2017-06-12 10:56:35,20170601010210,2,6
313,126932,2017-06-12 10:56:35,20170601010210,2,7
314,126932,2017-06-12 10:56:36,20170601010210,2,8
315,126932,2017-06-12 10:56:38,20170601010210,2,9
316,126932,2017-06-12 10:56:39,20170601010210,2,10
317,126932,2017-06-12 10:56:40,20170601010210,2,11
318,126932,2017-06-12 10:56:41,20170601010210,2,12
319,126932,2017-06-12 10:56:42,20170601010210,2,13
320,126932,2017-06-12 10:56:42,20170601010210,2,14
321,126933,2017-06-12 10:56:43,20170601010210,0,0
322,126933,2017-06-12 10:56:44,20170601010210,2,0
323,126933,2017-06-12 10:56:45,20170601010210,2,1
324,126933,2017-06-12 10:56:46,20170601010210,2,2
325,126932,2017-06-12 10:56:46,20170601010210,1,0
326,126933,2017-06-12 10:56:47,20170601010210,0,0
327,126933,2017-06-12 10:56:48,20170601010210,2,0
328,126932,2017-06-12 10:56:49,20170601010210,1,0
329,126933,2017-06-12 10:56:50,20170601010210,0,0
330,126933,2017-06-12 10:56:50,20170601010210,2,0
331,126932,2017-06-12 10:56:51,20170601010210,1,0
332,126932,2017-06-12 10:56:52,20170601010210,2,0
333,126932,2017-06-12 10:56:53,20170601010210,2,1
334,126932,2017-06-12 10:56:54,20170601010210,2,2
335,126932,2017-06-12 10:56:54,20170601010210,2,3
336,126932,2017-06-12 10:56:55,20170601010210,2,4
337,126932,2017-06-12 10:56:56,20170601010210,2,5
338,126932,2017-06-12 10:56:57,20170601010210,2,6
339,126932,2017-06-12 10:56:58,20170601010210,2,7
340,126932,2017-06-12 10:56:58,20170601010210,2,8
341,126932,2017-06-12 10:56:59,20170601010210,2,9
342,126932,2017-06-12 10:57:00,20170601010210,2,10
343,126932,2017-06-12 10:57:01,20170601010210,2,11
344,126932,2017-06-12 10:57:02,20170601010210,2,12
345,126932,2017-06-12 10:57:02,20170601010210,2,13
346,126932,2017-06-12 10:57:03,20170601010210,2,14
347,126932,2017-06-12 10:57:04,20170601010210,2,15
348,126932,2017-06-12 10:57:05,20170601010210,2,16
